,Quarter,Time,Tm,Detail,DET,DEN
0,1.0,9:04,Lions,Matt Prater 26 yard field goal,3,0
1,2.0,11:10,Lions,Jamal Agnew 64 yard punt return (Matt Prater kick),10,0
2,2.0,6:08,Broncos,Royce Freeman 1 yard rush (Brandon McManus kick),10,7
3,2.0,0:29,Broncos,Brandon McManus 34 yard field goal,10,10
4,3.0,10:27,Broncos,Brandon McManus 26 yard field goal,10,13
5,3.0,3:56,Lions,Kenny Golladay 3 yard pass from David Blough (Matt Prater kick),17,13
6,4.0,13:12,Broncos,DaeSean Hamilton 3 yard pass from Drew Lock (Brandon McManus kick),17,20
7,4.0,6:47,Broncos,Phillip Lindsay 27 yard rush (Brandon McManus kick),17,27
