,Quarter,Tm,Detail,NYG,DAL
0,1.0,Giants,Pete Gogolak 49 yard field goal,3,0
1,1.0,Giants,Pete Gogolak 22 yard field goal,6,0
2,2.0,Cowboys,Toni Fritsch 43 yard field goal,6,3
3,2.0,Giants,Ron Johnson 9 yard pass from Norm Snead (Pete Gogolak kick),13,3
4,2.0,Giants,Rich Houston 12 yard pass from Norm Snead (Pete Gogolak kick),20,3
5,4.0,Giants,Pete Gogolak 26 yard field goal,23,3
