,Quarter,Time,Tm,Detail,GNB,MIN
0,2.0,8:18,Vikings,Cris Carter 43 yard pass from Daunte Culpepper (Gary Anderson kick),0,7
1,2.0,7:56,Vikings,Kailee Wong 27 yard interception return (Gary Anderson kick),0,14
2,2.0,3:29,Vikings,Gary Anderson 42 yard field goal,0,17
3,2.0,0:04,Vikings,Gary Anderson 36 yard field goal,0,20
4,3.0,10:20,Packers,Bubba Franks 2 yard pass from Brett Favre (Ryan Longwell kick),7,20
5,4.0,14:07,Vikings,Daunte Culpepper 14 yard rush (Jake Reed pass from Daunte Culpepper),7,28
6,4.0,2:47,Vikings,Jim Kleinsasser 2 yard rush (Gary Anderson kick),7,35
7,4.0,0:45,Packers,Charles Lee 3 yard pass from Brett Favre (pass failed),13,35
