,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,,Chiefs,Steve Bono 2 yard rush (Lin Elliott kick),7,0
1,1.0,,Chargers,Rodney Culver 1 yard rush (John Carney kick),7,7
2,2.0,,Chiefs,Lin Elliott 47 yard field goal,10,7
3,2.0,,Chiefs,Lin Elliott 48 yard field goal,13,7
4,3.0,,Chiefs,Marcus Allen 1 yard rush (pass failed),19,7
5,4.0,,Chiefs,Lin Elliott 34 yard field goal,22,7
