,Quarter,Tm,Detail,PIT,BAL
0,1.0,Colts,Raymond Berry 5 yard pass from Johnny Unitas,0,6
1,2.0,Steelers,Ray Mathews 48 yard pass from Earl Morrall (Gary Glick kick),7,6
2,3.0,Steelers,Ray Mathews 22 yard pass from Earl Morrall (Gary Glick kick),14,6
3,3.0,Colts,George Shaw 8 yard rush (Bert Rechichar kick),14,13
4,4.0,Steelers,Gary Glick 16 yard field goal,17,13
5,4.0,Steelers,"Safety, McPeak tackled Unitas in end zone",19,13
