,Quarter,Tm,Detail,CLE,RAM
0,1.0,Rams,Marlin McKeever 5 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,2.0,Rams,Willie Brown 22 yard pass from Roman Gabriel (Bruce Gossett kick),0,14
2,2.0,Rams,Tommy McDonald 46 yard pass from Roman Gabriel (Bruce Gossett kick),0,21
3,2.0,Browns,Ernie Green 3 yard pass from Jim Ninowski (Lou Groza kick),7,21
4,3.0,Rams,Roman Gabriel 9 yard rush (Bruce Gossett kick),7,28
5,4.0,Rams,Tommy McDonald 42 yard pass from Roman Gabriel (Bruce Gossett kick),7,35
6,4.0,Rams,Tommy McDonald 43 yard pass from Roman Gabriel (Bruce Gossett kick),7,42
