,Quarter,Time,Tm,Detail,NOR,CHI
0,1.0,,Bears,Jeff Jaeger 23 yard field goal,0,3
1,2.0,,Saints,Doug Brien 38 yard field goal,3,3
2,3.0,,Saints,Mario Bates 49 yard rush (Doug Brien kick),10,3
3,3.0,,Saints,Doug Brien 48 yard field goal,13,3
4,4.0,,Bears,Erik Kramer 1 yard rush (Jeff Jaeger kick),13,10
5,4.0,,Bears,Raymont Harris 1 yard rush (Jeff Jaeger kick),13,17
6,4.0,,Saints,Randal Hill 89 yard pass from Heath Shuler (Doug Brien kick),20,17
