,Quarter,Tm,Detail,BAL,PHI
0,1.0,Eagles,Keith Krepfle 15 yard pass from Ron Jaworski (Tony Franklin kick),0,7
1,1.0,Colts,Curtis Dickey 1 yard rush,6,7
2,2.0,Eagles,Wilbert Montgomery 5 yard rush (Tony Franklin kick),6,14
3,2.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),6,21
4,3.0,Eagles,Tony Franklin 32 yard field goal,6,24
5,3.0,Eagles,Charlie Smith 30 yard pass from Ron Jaworski (Tony Franklin kick),6,31
6,4.0,Colts,Zachary Dixon 17 yard pass from Bert Jones (Mike Wood kick),13,31
7,4.0,Eagles,Wally Henry 44 yard pass from Joe Pisarcik (Tony Franklin kick),13,38
