,Quarter,Tm,Detail,CIN,RAM
0,1.0,Rams,Frank Corral 37 yard field goal,0,3
1,1.0,Rams,Frank Corral 20 yard field goal,0,6
2,1.0,Rams,Terry Nelson 14 yard rush (Frank Corral kick),0,13
3,2.0,Bengals,Isaac Curtis 46 yard pass from Ken Anderson (Chris Bahr kick),7,13
4,2.0,Bengals,Pete Johnson 2 yard rush (Chris Bahr kick),14,13
5,2.0,Rams,Frank Corral 29 yard field goal,14,16
6,3.0,Rams,Frank Corral 17 yard field goal,14,19
7,3.0,Bengals,Chris Bahr 24 yard field goal,17,19
8,4.0,Bengals,Chris Bahr 42 yard field goal,20,19
