,Quarter,Tm,Detail,NYJ,HOU
0,1,Jets,Wesley Walker 39 yard pass from Richard Todd (Toni Linhart kick),7,0
1,2,Oilers,Toni Fritsch 47 yard field goal,7,3
2,2,Jets,Toni Linhart 31 yard field goal,10,3
3,2,Oilers,Rob Carpenter 1 yard rush (Toni Fritsch kick),10,10
4,2,Oilers,Earl Campbell 4 yard rush (Toni Fritsch kick),10,17
5,3,Oilers,Mike Barber 37 yard pass from Dan Pastorini (Toni Fritsch kick),10,24
6,4,Jets,Jerome Barkum 18 yard pass from Richard Todd (Toni Linhart kick),17,24
7,4,Jets,Richard Todd 1 yard rush (Toni Linhart kick),24,24
8,OT,Oilers,Toni Fritsch 35 yard field goal,24,27
