,Quarter,Tm,Detail,COL,CHI
0,2.0,Bears,Joey Sternaman unknown yard rush (Joey Sternaman kick),0,7
1,2.0,Bears,Laurie Walquist 37 yard pass from Red Grange (Joey Sternaman kick),0,14
2,2.0,Tigers,Bob Rapp 50 yard pass from Dom Albanese (George Rohleder kick),7,14
3,4.0,Tigers,Buddy Tynes unknown yard rush,13,14
