,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Roy Winston 29 yard interception return (Fred Cox kick),0,7
1,1.0,Lions,Errol Mann 35 yard field goal,3,7
2,2.0,Vikings,Clint Jones 3 yard rush (Fred Cox kick),3,14
3,3.0,Vikings,Fred Cox 10 yard field goal,3,17
4,3.0,Lions,Larry Walton 4 yard pass from Bill Munson (Errol Mann kick),10,17
5,4.0,Vikings,"Safety, Page blocked punt through end zone",10,19
6,4.0,Vikings,Fred Cox 32 yard field goal,10,22
7,4.0,Vikings,Jim Lindsey special teams fumble recovery in end zone (Fred Cox kick),10,29
