,Quarter,Tm,Detail,CAN,CLI
0,1.0,Bulldogs,Doc Elliott unknown yard rush,6,0
1,1.0,Indians,Stan Keck unknown yard field goal,6,3
2,2.0,Bulldogs,Lou Smyth unknown yard rush (Pete Henry kick),13,3
3,2.0,Bulldogs,Doc Elliott unknown yard rush (Pete Henry kick),20,3
4,3.0,Bulldogs,Harry Robb unknown yard rush,26,3
5,3.0,Indians,Johnny Kyle unknown yard rush (Stan Keck kick),26,10
6,3.0,Bulldogs,Doc Elliott unknown yard rush,32,10
7,4.0,Bulldogs,Lou Smyth unknown yard rush,38,10
8,4.0,Bulldogs,Tex Grigg unknown yard rush,44,10
