,Quarter,Tm,Detail,RAM,MIN
0,1.0,Vikings,Fred Cox 15 yard field goal,0,3
1,2.0,Vikings,Chuck Foreman 9 yard pass from Fran Tarkenton (Fred Cox kick),0,10
2,2.0,Rams,David Ray 30 yard field goal,3,10
3,3.0,Rams,David Ray 35 yard field goal,6,10
4,4.0,Rams,David Ray 47 yard field goal,9,10
