,Quarter,Tm,Detail,DAY,HRT
0,2,Blues,Jim Manning unknown yard rush (Vic Radzievitch kick),0,7
1,3,Blues,"Safety,",0,9
2,4,Blues,Jim Manning unknown yard rush (Jack Perrin kick),0,16
