,Quarter,Tm,Detail,BKN,NYG
0,1.0,Giants,Dale Burnett 30 yard pass from Red Smith,0,6
1,1.0,Giants,Chris Cagle 25 yard rush (Red Smith kick),0,13
2,3.0,Giants,Doug Wycoff 77 yard interception return (Red Smith kick),0,20
3,4.0,Giants,Dale Burnett 7 yard rush (Hap Moran kick),0,27
