,Quarter,Time,Tm,Detail,CHI,NYJ
0,1.0,,Jets,Johnny Johnson 5 yard rush (Nick Lowery kick),0,7
1,2.0,,Bears,Lewis Tillman 2 yard rush (Kevin Butler kick),7,7
2,2.0,,Bears,Kevin Butler 44 yard field goal,10,7
3,3.0,,Bears,Kevin Butler 30 yard field goal,13,7
4,4.0,,Bears,Lewis Tillman 2 yard rush (pass failed),19,7
