,Quarter,Tm,Detail,CHI,NYG
0,1.0,Bears,Joey Sternaman 1 yard rush,6,0
1,1.0,Bears,Joey Sternaman 10 yard rush,12,0
2,2.0,Giants,Phil White 3 yard rush (Jack McBride kick),12,7
3,4.0,Bears,Red Grange 35 yard interception return (Joey Sternaman kick),19,7
