,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,Skeets Quinlan 80 yard pass from Norm Van Brocklin (Les Richter kick),7,0
1,1.0,Rams,Bob Carey 21 yard field goal,10,0
2,1.0,Rams,Les Richter 27 yard field goal,13,0
3,2.0,Rams,Dan Towler 2 yard rush (Bob Carey kick),20,0
4,2.0,Rams,Billy Wade 4 yard rush (Les Richter kick),27,0
5,3.0,Rams,Elroy Hirsch 40 yard pass from Norm Van Brocklin (Les Richter kick),34,0
6,4.0,Rams,Tank Younger 4 yard rush (Bob Carey kick),41,0
7,4.0,Rams,Skeets Quinlan 26 yard rush (Les Richter kick),48,0
