,Quarter,Time,Tm,Detail,RAI,DEN
0,1.0,,Raiders,Harvey Williams 2 yard rush (Jeff Jaeger kick),7,0
1,1.0,,Broncos,Jason Elam 43 yard field goal,7,3
2,1.0,,Raiders,Tyrone Montgomery 65 yard pass from Jeff Hostetler (Jeff Jaeger kick),14,3
3,1.0,,Raiders,Tim Brown 43 yard pass from Jeff Hostetler (Jeff Jaeger kick),21,3
4,2.0,,Raiders,Andrew Glover 7 yard pass from Jeff Hostetler (Jeff Jaeger kick),28,3
5,3.0,,Broncos,Leonard Russell 1 yard rush (run failed),28,9
6,3.0,,Raiders,Harvey Williams 5 yard pass from Jeff Hostetler (Jeff Jaeger kick),35,9
7,3.0,,Broncos,Leonard Russell 4 yard rush (Jason Elam kick),35,16
8,3.0,,Raiders,Jeff Jaeger 42 yard field goal,38,16
9,4.0,,Raiders,Jeff Jaeger 33 yard field goal,41,16
10,4.0,9:15,Raiders,Terry McDaniel 15 yard interception return (Jeff Jaeger kick),48,16
