,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Odessa Turner 12 yard pass from Steve Young (Mike Cofer kick),7,0
1,2.0,49ers,Ricky Watters 21 yard pass from Steve Young (Mike Cofer kick),14,0
2,2.0,Falcons,Norm Johnson 33 yard field goal,14,3
3,3.0,49ers,Mike Cofer 40 yard field goal,17,3
4,3.0,49ers,Mike Cofer 32 yard field goal,20,3
5,3.0,49ers,Tom Rathman 2 yard rush (Mike Cofer kick),27,3
6,4.0,49ers,Jerry Rice 19 yard pass from Steve Young (Mike Cofer kick),34,3
7,4.0,49ers,Merton Hanks 48 yard punt return (Mike Cofer kick),41,3
