,Quarter,Time,Tm,Detail,BAL,JAX
0,1.0,8:04,Jaguars,Steve Lindsey 49 yard field goal,0,3
1,1.0,1:23,Ravens,Matt Stover 47 yard field goal,3,3
2,2.0,0:21,Ravens,Matt Stover 32 yard field goal,6,3
3,3.0,12:37,Ravens,Matt Stover 43 yard field goal,9,3
4,4.0,13:38,Ravens,Matt Stover 21 yard field goal,12,3
5,4.0,9:44,Ravens,Matt Stover 24 yard field goal,15,3
6,4.0,4:04,Jaguars,Fred Taylor 1 yard rush (Steve Lindsey kick),15,10
