,Quarter,Time,Tm,Detail,ARI,CLE
0,1.0,9:06,Browns,Phil Dawson 34 yard field goal,0,3
1,1.0,2:57,Browns,Andre' Davis 4 yard pass from Kelly Holcomb (Phil Dawson kick),0,10
2,2.0,11:16,Browns,Phil Dawson 24 yard field goal,0,13
3,2.0,4:14,Browns,Dennis Northcutt 1 yard pass from Kelly Holcomb (Phil Dawson kick),0,20
4,2.0,0:55,Cardinals,Neil Rackers 42 yard field goal,3,20
5,3.0,9:55,Cardinals,Neil Rackers 26 yard field goal,6,20
6,3.0,6:59,Browns,James Jackson 4 yard rush (Phil Dawson kick),6,27
7,3.0,2:56,Browns,Quincy Morgan 68 yard pass from Kelly Holcomb (Phil Dawson kick),6,34
8,4.0,14:20,Browns,James Jackson 4 yard rush (Phil Dawson kick),6,41
9,4.0,8:57,Browns,Phil Dawson 29 yard field goal,6,44
