,Quarter,Tm,Detail,NYG,CHI
0,1.0,Giants,Frank Gifford 14 yard pass from Y.A. Tittle (Don Chandler kick),7,0
1,1.0,Bears,Billy Wade 2 yard rush (Bob Jencks kick),7,7
2,2.0,Giants,Don Chandler 13 yard field goal,10,7
3,3.0,Bears,Billy Wade 1 yard rush (Bob Jencks kick),10,14
