,Quarter,Time,Tm,Detail,STL,BUF
0,1.0,2:14,Bills,Rian Lindell 35 yard field goal,0,3
1,2.0,0:07,Bills,Rian Lindell 40 yard field goal,0,6
2,3.0,8:37,Rams,Steven Jackson 1 yard rush (Greg Zuerlein kick),7,6
3,3.0,3:26,Bills,Lee Smith 2 yard pass from Ryan Fitzpatrick (pass failed),7,12
4,4.0,0:48,Rams,Brandon Gibson 13 yard pass from Sam Bradford (Chris Givens pass from Sam Bradford ),15,12
