,Quarter,Tm,Detail,PIT,DET
0,2.0,Lions,Gail Cogdill 1 yard pass from Milt Plum (Wayne Walker kick),0,7
1,2.0,Steelers,Preston Carpenter 43 yard pass from Ed Brown (Lou Michaels kick),7,7
2,2.0,Lions,Nick Pietrosante 22 yard rush (Wayne Walker kick),7,14
3,2.0,Lions,Gail Cogdill 21 yard pass from Milt Plum (Wayne Walker kick),7,21
4,3.0,Lions,Dan Lewis 1 yard rush (Wayne Walker kick),7,28
5,4.0,Lions,Dan Lewis 1 yard rush (Wayne Walker kick),7,35
6,4.0,Lions,Wayne Walker 44 yard field goal,7,38
7,4.0,Lions,Pat Studstill 9 yard pass from Milt Plum (Wayne Walker kick),7,45
