,Quarter,Tm,Detail,CLE,NWE
0,1.0,Patriots,John Smith 37 yard field goal,0,3
1,2.0,Patriots,John Smith 35 yard field goal,0,6
2,2.0,Patriots,Harold Jackson 10 yard pass from Steve Grogan (John Smith kick),0,13
3,2.0,Browns,Don Cockroft 25 yard field goal,3,13
4,3.0,Patriots,Stanley Morgan 67 yard pass from Steve Grogan (John Smith kick),3,20
5,3.0,Patriots,Don Calhoun 2 yard rush (John Smith kick),3,27
6,4.0,Patriots,Don Hasselbeck 17 yard pass from Steve Grogan (John Smith kick),3,34
7,4.0,Browns,Dave Logan 10 yard pass from Brian Sipe (Don Cockroft kick),10,34
8,4.0,Browns,Keith Wright 11 yard pass from Brian Sipe (Don Cockroft kick),17,34
