,Quarter,Tm,Detail,DET,BKN
0,1.0,Dodgers,Ralph Kercheval 21 yard field goal,0,3
1,1.0,Lions,Glenn Presnell 25 yard field goal,3,3
2,2.0,Dodgers,Ralph Kercheval 42 yard field goal,3,6
3,3.0,Dodgers,Red Franklin 5 yard rush,3,12
4,3.0,Lions,Glenn Presnell 40 yard punt return (Glenn Presnell kick),10,12
