,Quarter,Tm,Detail,CHI,CLE
0,3.0,Browns,Gary Collins 9 yard pass from Frank Ryan (Lou Groza kick),0,7
1,4.0,Browns,Leroy Kelly 22 yard rush (Lou Groza kick),0,14
2,4.0,Browns,Lou Groza 24 yard field goal,0,17
3,4.0,Browns,Gary Collins 6 yard pass from Frank Ryan (Lou Groza kick),0,24
