,Quarter,Tm,Detail,ATL,PHI
0,1.0,Eagles,Tom Sullivan 4 yard pass from Roman Gabriel (Tom Dempsey kick),0,7
1,1.0,Falcons,Eddie Ray 3 yard rush (Nick Mike-Mayer kick),7,7
2,2.0,Falcons,Ken Burrow 12 yard pass from Bob Lee (Nick Mike-Mayer kick),14,7
3,2.0,Falcons,Nick Mike-Mayer 45 yard field goal,17,7
4,2.0,Eagles,Tom Dempsey 34 yard field goal,17,10
5,2.0,Eagles,Tom Dempsey 48 yard field goal,17,13
6,3.0,Falcons,Nick Mike-Mayer 8 yard field goal,20,13
7,3.0,Eagles,Norm Bulaich 4 yard pass from Roman Gabriel (Tom Dempsey kick),20,20
8,4.0,Falcons,Eddie Ray 2 yard rush (Nick Mike-Mayer kick),27,20
9,4.0,Falcons,Harmon Wages 1 yard rush (Nick Mike-Mayer kick),34,20
10,4.0,Falcons,Nick Mike-Mayer 30 yard field goal,37,20
11,4.0,Eagles,Harold Carmichael 19 yard pass from Roman Gabriel (Tom Dempsey kick),37,27
12,4.0,Falcons,Ken Burrow 21 yard pass from Pat Sullivan (Nick Mike-Mayer kick),44,27
