,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Gale Sayers 10 yard rush (Roger LeClerc kick),0,7
1,2.0,Lions,Amos Marsh 3 yard rush (Garo Yepremian kick),7,7
2,2.0,Bears,Roger LeClerc 12 yard field goal,7,10
3,4.0,Lions,Wayne Walker 11 yard field goal,10,10
