,Quarter,Time,Tm,Detail,SDG,SFO
0,1.0,,49ers,Gary Anderson 29 yard field goal,0,3
1,2.0,,49ers,Terrell Owens 37 yard pass from Steve Young (Gary Anderson kick),0,10
2,3.0,,Chargers,Greg Davis 31 yard field goal,3,10
3,3.0,,49ers,J.J. Stokes 3 yard pass from Steve Young (Gary Anderson kick),3,17
4,3.0,,Chargers,Paul Bradford 78 yard defensive fumble return (Greg Davis kick),10,17
