,Quarter,Time,Tm,Detail,PHI,ATL
0,1.0,,Falcons,Terance Mathis 9 yard pass from Jeff George (Norm Johnson kick),0,7
1,2.0,,Eagles,Randall Cunningham 1 yard rush (Eddie Murray kick),7,7
2,2.0,,Falcons,Norm Johnson 50 yard field goal,7,10
3,2.0,,Falcons,Norm Johnson 40 yard field goal,7,13
4,3.0,13:19,Eagles,Herschel Walker 91 yard rush (Eddie Murray kick),14,13
5,3.0,13:19,Falcons,Terance Mathis 7 yard pass from Jeff George (Terance Mathis pass from Jeff George),14,21
6,4.0,7:02,Falcons,Craig Heyward 5 yard rush (Norm Johnson kick),14,28
7,4.0,7:02,Eagles,Herschel Walker 2 yard rush (Eddie Murray kick),21,28
