,Quarter,Tm,Detail,RAI,MIN
0,1.0,Raiders,Mervyn Fernandez 17 yard pass from Jay Schroeder (Jeff Jaeger kick),7,0
1,1.0,Raiders,Sam Graddy 47 yard pass from Jay Schroeder (Jeff Jaeger kick),14,0
2,2.0,Vikings,Fuad Reveiz 28 yard field goal,14,3
3,2.0,Vikings,Cris Carter 27 yard pass from Wade Wilson (Fuad Reveiz kick),14,10
4,3.0,Raiders,Marcus Allen 19 yard pass from Jay Schroeder (Jeff Jaeger kick),21,10
5,4.0,Raiders,Ethan Horton 3 yard pass from Jay Schroeder (Jeff Jaeger kick),28,10
6,4.0,Vikings,Hassan Jones 4 yard pass from Rich Gannon (Fuad Reveiz kick),28,17
7,4.0,Vikings,Steve Jordan 10 yard pass from Rich Gannon (Fuad Reveiz kick),28,24
