,Quarter,Tm,Detail,STL,PHI
0,1.0,Cardinals,Wayne Morris 8 yard rush (Neil O'Donoghue kick),7,0
1,1.0,Cardinals,Neil O'Donoghue 26 yard field goal,10,0
2,1.0,Eagles,Wilbert Montgomery 2 yard rush (Tony Franklin kick),10,7
3,2.0,Cardinals,Neil O'Donoghue 20 yard field goal,13,7
4,2.0,Cardinals,Stump Mitchell 32 yard rush (Neil O'Donoghue kick),20,7
5,2.0,Cardinals,Neil O'Donoghue 34 yard field goal,23,7
6,3.0,Eagles,Wilbert Montgomery 6 yard pass from Ron Jaworski,23,13
7,4.0,Eagles,John Spagnola 8 yard pass from Ron Jaworski (Tony Franklin kick),23,20
