,Quarter,Tm,Detail,CLE,PIT
0,2,Browns,Gary Collins 4 yard pass from Frank Ryan (Lou Groza kick),7,0
1,3,Steelers,"Safety, Schmitz tackled Brown in end lone",7,2
2,4,Steelers,Gary Ballman 9 yard pass from Ed Brown (Lou Michaels kick),7,9
