,Quarter,Tm,Detail,KAN,CLE
0,1.0,Browns,Greg Pruitt 11 yard rush (Don Cockroft kick),0,7
1,2.0,Browns,Don Cockroft 26 yard field goal,0,10
2,3.0,Browns,Hugh McKinnis 1 yard rush (Don Cockroft kick),0,17
3,3.0,Browns,"Safety, East tackled Getty in end zone",0,19
4,3.0,Browns,Greg Pruitt 3 yard rush (Don Cockroft kick),0,26
5,4.0,Browns,Reggie Rucker 40 yard pass from Mike Phipps (Don Cockroft kick),0,33
6,4.0,Chiefs,Woody Green 1 yard rush (Jan Stenerud kick),7,33
7,4.0,Browns,Greg Pruitt 14 yard rush (Don Cockroft kick),7,40
8,4.0,Chiefs,Billy Masters 9 yard pass from Tony Adams (Jan Stenerud kick),14,40
