,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,Sonny Jurgensen 1 yard rush (Jim Martin kick),7,0
1,1.0,Redskins,Angelo Coia 32 yard pass from Sonny Jurgensen (Jim Martin kick),14,0
2,1.0,Cardinals,Jim Bakken 17 yard field goal,14,3
3,1.0,Cardinals,Sonny Randle 11 yard pass from Charley Johnson (Jim Bakken kick),14,10
4,2.0,Cardinals,John David Crow 9 yard rush (Jim Bakken kick),14,17
5,2.0,Cardinals,Jackie Smith 1 yard pass from Charley Johnson (Jim Bakken kick),14,24
6,4.0,Redskins,Bobby Mitchell 18 yard pass from Sonny Jurgensen (Jim Martin kick),21,24
7,4.0,Redskins,Jim Martin 22 yard field goal,24,24
8,4.0,Cardinals,Bobby Joe Conrad 12 yard pass from Charley Johnson (Jim Bakken kick),24,31
9,4.0,Cardinals,Pat Fischer 39 yard interception return (Jim Bakken kick),24,38
