,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,,Chargers,Greg Jackson 36 yard interception return (Greg Davis kick),0,7
1,1.0,,Raiders,Harvey Williams 8 yard pass from Jeff George (Cole Ford kick),7,7
2,2.0,,Raiders,Harvey Williams 1 yard rush (Cole Ford kick),14,7
3,2.0,,Chargers,Greg Davis 45 yard field goal,14,10
4,2.0,,Raiders,James Jett 9 yard pass from Jeff George (Cole Ford kick),21,10
5,2.0,,Chargers,Greg Davis 22 yard field goal,21,13
6,3.0,,Raiders,Harvey Williams 1 yard rush (Cole Ford kick),28,13
7,3.0,,Raiders,Harvey Williams 32 yard pass from Jeff George (Cole Ford kick),35,13
8,4.0,,Raiders,Cole Ford 23 yard field goal,38,13
