,Quarter,Tm,Detail,NYG,CIN
0,1.0,Bengals,Billy Brooks 58 yard pass from Ken Anderson (Chris Bahr kick),0,7
1,1.0,Bengals,Boobie Clark 10 yard rush (Chris Bahr kick),0,14
2,1.0,Bengals,Billy Brooks 30 yard pass from Ken Anderson,0,20
3,2.0,Bengals,Jim Corbett 47 yard pass from Ken Anderson (Chris Bahr kick),0,27
4,2.0,Giants,Jim Robinson 5 yard pass from Joe Pisarcik,6,27
5,4.0,Bengals,Chris Bahr 32 yard field goal,6,30
6,4.0,Giants,Joe Pisarcik 1 yard rush (Joe Danelo kick),13,30
