,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,,Packers,Keith McKenzie 28 yard interception return (Ryan Longwell kick),7,0
1,1.0,,Bears,James Allen 14 yard pass from Steve Stenstrom (Jeff Jaeger kick),7,7
2,2.0,,Bears,Jeff Jaeger 29 yard field goal,7,10
3,3.0,,Packers,Antonio Freeman 8 yard pass from Brett Favre,13,10
4,3.0,,Bears,Jeff Jaeger 21 yard field goal,13,13
5,4.0,,Packers,Ryan Longwell 18 yard field goal,16,13
