,Quarter,Tm,Detail,BAL,MIA
0,2.0,Dolphins,Andra Franklin 8 yard rush (Uwe von Schamann kick),0,7
1,2.0,Dolphins,Uwe von Schamann 42 yard field goal,0,10
2,2.0,Dolphins,Mark Duper 85 yard pass from Dan Marino (Uwe von Schamann kick),0,17
3,2.0,Dolphins,Mark Clayton 60 yard punt return (Uwe von Schamann kick),0,24
4,3.0,Dolphins,Dan Marino 1 yard rush (Uwe von Schamann kick),0,31
5,4.0,Dolphins,Woody Bennett 1 yard rush,0,37
