,Quarter,Tm,Detail,CIN,BUF
0,1.0,Bengals,Jim Breech 32 yard field goal,3,0
1,2.0,Bills,James Lofton 74 yard pass from Jim Kelly (Scott Norwood kick),3,7
2,2.0,Bills,Pete Metzelaars 51 yard pass from Jim Kelly (Scott Norwood kick),3,14
3,3.0,Bengals,Eddie Brown 19 yard pass from Boomer Esiason (Jim Breech kick),10,14
4,3.0,Bills,James Lofton 48 yard pass from Jim Kelly (Scott Norwood kick),10,21
5,3.0,Bengals,Lee Johnson 53 yard field goal,13,21
6,3.0,Bills,Andre Reed 24 yard pass from Jim Kelly (Scott Norwood kick),13,28
7,4.0,Bengals,Jim Breech 42 yard field goal,16,28
8,4.0,Bills,Thurman Thomas 5 yard pass from Jim Kelly (Scott Norwood kick),16,35
