,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Nick Bolkovac 27 yard field goal,3,0
1,1.0,Steelers,Ray Mathews 2 yard rush,9,0
2,2.0,Browns,Ken Carpenter 7 yard rush (Lou Groza kick),9,7
3,2.0,Browns,Lou Groza 20 yard field goal,9,10
4,2.0,Browns,Ray Renfro 44 yard rush (Lou Groza kick),9,17
5,2.0,Steelers,Ray Mathews 77 yard pass from Jim Finks (Nick Bolkovac kick),16,17
6,2.0,Browns,Ray Renfro 79 yard blocked field goal return (Lou Groza kick),16,24
7,4.0,Browns,Dante Lavelli 17 yard pass from Otto Graham (Lou Groza kick),16,31
8,4.0,Browns,Lou Groza 14 yard field goal,16,34
