,Quarter,Tm,Detail,DAL,PHI
0,1.0,Eagles,Harold Carmichael 6 yard pass from Roman Gabriel (Tom Dempsey kick),0,7
1,1.0,Eagles,Tom Dempsey 7 yard field goal,0,10
2,2.0,Cowboys,Otto Stowe 8 yard pass from Roger Staubach,6,10
3,2.0,Eagles,Tom Dempsey 35 yard field goal,6,13
4,2.0,Eagles,Roman Gabriel 1 yard rush (Tom Dempsey kick),6,20
5,2.0,Cowboys,Otto Stowe 14 yard pass from Roger Staubach (Mike Clark kick),13,20
6,2.0,Eagles,Harold Carmichael 10 yard pass from Roman Gabriel (Tom Dempsey kick),13,27
7,3.0,Cowboys,Mike Clark 33 yard field goal,16,27
8,4.0,Eagles,Tom Dempsey 32 yard field goal,16,30
