,Quarter,Tm,Detail,KAN,SFO
0,1.0,49ers,Ray Wersching 41 yard field goal,0,3
1,1.0,Chiefs,Nick Lowery 46 yard field goal,3,3
2,2.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),3,10
3,2.0,49ers,Joe Montana 1 yard rush (Ray Wersching kick),3,17
4,3.0,49ers,Dwight Clark 22 yard pass from Joe Montana (Ray Wersching kick),3,24
5,4.0,49ers,Russ Francis 8 yard pass from Joe Montana (Ray Wersching kick),3,31
