,Quarter,Time,Tm,Detail,CAR,NOR
0,1.0,,Saints,Sean Dawkins 64 yard pass from Danny Wuerffel (Doug Brien kick),0,7
1,2.0,,Panthers,William Floyd 1 yard rush (John Kasay kick),7,7
2,2.0,,Saints,Doug Brien 46 yard field goal,7,10
3,2.0,,Panthers,Muhsin Muhammad 17 yard pass from Kerry Collins (John Kasay kick),14,10
4,3.0,,Saints,Doug Brien 56 yard field goal,14,13
5,4.0,,Saints,Ray Zellars 15 yard rush (pass failed),14,19
