,Quarter,Tm,Detail,DET,SDG
0,1.0,Chargers,Jewerl Thomas 1 yard rush (Rolf Benirschke kick),0,7
1,2.0,Chargers,Jewerl Thomas 1 yard rush (Rolf Benirschke kick),0,14
2,2.0,Chargers,Buford McGee 3 yard rush (Rolf Benirschke kick),0,21
3,2.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),7,21
4,2.0,Chargers,Rolf Benirschke 18 yard field goal,7,24
5,3.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),14,24
6,3.0,Lions,Jeff Chadwick 12 yard rush (Eddie Murray kick),21,24
7,4.0,Chargers,Rolf Benirschke 41 yard field goal,21,27
8,4.0,Lions,Eddie Murray 44 yard field goal,24,27
