,Quarter,Time,Tm,Detail,DAL,CAR
0,2,12:46,Panthers,Tim Biakabutuka 1 yard rush (Richie Cunningham kick),0,7
1,2,7:13,Cowboys,"Safety,",2,7
2,2,2:34,Cowboys,Emmitt Smith 8 yard rush (Jackie Harris pass from Troy Aikman),10,7
3,2,0:02,Panthers,Richie Cunningham 39 yard field goal,10,10
4,3,4:13,Cowboys,Tim Seder 27 yard field goal,13,10
5,4,12:35,Panthers,Richie Cunningham 23 yard field goal,13,13
6,OT,11:08,Cowboys,Tim Seder 24 yard field goal,16,13
