,Quarter,Tm,Detail,ATL,HOU
0,1.0,Falcons,William Andrews 3 yard rush (Mick Luckhurst kick),7,0
1,1.0,Falcons,Mick Luckhurst 36 yard field goal,10,0
2,2.0,Oilers,Mike Holston 15 yard pass from Ken Stabler,10,6
3,2.0,Falcons,Alfred Jackson 43 yard pass from Steve Bartkowski (Mick Luckhurst kick),17,6
4,2.0,Falcons,Alfred Jenkins 42 yard pass from Steve Bartkowski (Mick Luckhurst kick),24,6
5,2.0,Oilers,Dave Casper 15 yard pass from Ken Stabler (Toni Fritsch kick),24,13
6,3.0,Falcons,Alfred Jackson offensive fumble recovery in end zone (Mick Luckhurst kick),31,13
7,4.0,Oilers,Earl Campbell 18 yard rush (Toni Fritsch kick),31,20
8,4.0,Oilers,Adger Armstrong 3 yard pass from Gifford Nielsen (Toni Fritsch kick),31,27
