,Quarter,Time,Tm,Detail,DEN,SEA
0,1.0,,Broncos,Jason Elam 38 yard field goal,3,0
1,1.0,,Broncos,Ed McCaffrey 14 yard pass from John Elway (Jason Elam kick),10,0
2,2.0,,Seahawks,Carlester Crumpler 12 yard pass from Warren Moon (Todd Peterson kick),10,7
3,2.0,,Seahawks,Chad Brown 26 yard defensive fumble return (Todd Peterson kick),10,14
4,2.0,,Broncos,Jason Elam 51 yard field goal,13,14
5,3.0,,Broncos,Ed McCaffrey 32 yard pass from John Elway (Shannon Sharpe pass from John Elway),21,14
6,3.0,,Broncos,Darrien Gordon 32 yard interception return (Jason Elam kick),28,14
7,4.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),35,14
