,Quarter,Tm,Detail,CRD,CHI
0,1,Bears,George Blanda 20 yard field goal,0,3
1,2,Bears,Chuck Hunsinger 7 yard pass from George Blanda (George Blanda kick),0,10
2,4,Cardinals,Elmer Angsman 8 yard pass from Charley Trippi (Joe Geri kick),7,10
