,Quarter,Time,Tm,Detail,PHI,DAL
0,1,6:39,Eagles,Caleb Sturgis 30 yard field goal,3,0
1,1,4:41,Cowboys,Dak Prescott 7 yard rush (Dan Bailey kick),3,7
2,2,14:50,Cowboys,Dan Bailey 38 yard field goal,3,10
3,2,3:41,Eagles,Ryan Mathews 1 yard rush (Caleb Sturgis kick),10,10
4,2,0:00,Eagles,Caleb Sturgis 55 yard field goal,13,10
5,3,6:20,Eagles,Jordan Matthews 5 yard pass from Carson Wentz (Caleb Sturgis kick),20,10
6,3,0:56,Cowboys,Dan Bailey 23 yard field goal,20,13
7,4,14:09,Eagles,Caleb Sturgis 34 yard field goal,23,13
8,4,11:34,Cowboys,Dan Bailey 49 yard field goal,23,16
9,4,3:04,Cowboys,Dez Bryant 22 yard pass from Dak Prescott (Dan Bailey kick),23,23
10,OT,7:48,Cowboys,Jason Witten 5 yard pass from Dak Prescott,23,29
