,Quarter,Time,Tm,Detail,LAR,SEA
0,1.0,12:06,Rams,Greg Zuerlein 36 yard field goal,3,0
1,1.0,8:21,Rams,Greg Zuerlein 31 yard field goal,6,0
2,1.0,5:57,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),13,0
3,2.0,8:13,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),20,0
4,2.0,3:26,Rams,Robert Woods 1 yard pass from Jared Goff (Greg Zuerlein kick),27,0
5,2.0,0:28,Rams,Todd Gurley 57 yard rush (Greg Zuerlein kick),34,0
6,3.0,7:04,Rams,Todd Gurley 14 yard pass from Jared Goff (Greg Zuerlein kick failed),40,0
7,3.0,1:23,Seahawks,Luke Willson 26 yard pass from Russell Wilson (Blair Walsh kick),40,7
8,4.0,10:14,Rams,"Safety, Russell Wilson penalty in end zone",42,7
