,Quarter,Time,Tm,Detail,GNB,PHI
0,1,7:37,Packers,Robert Ferguson 40 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,1,1:22,Packers,Robert Ferguson 17 yard pass from Brett Favre (Ryan Longwell kick),14,0
2,2,6:29,Eagles,Duce Staley 7 yard pass from Donovan McNabb (David Akers kick),14,7
3,4,14:48,Eagles,Todd Pinkston 12 yard pass from Donovan McNabb (David Akers kick),14,14
4,4,10:22,Packers,Ryan Longwell 21 yard field goal,17,14
5,4,0:05,Eagles,David Akers 37 yard field goal,17,17
6,OT,10:12,Eagles,David Akers 31 yard field goal,17,20
