,Quarter,Tm,Detail,DTX,DET
0,2.0,Lions,Pat Harder 18 yard pass from Bobby Layne (Pat Harder kick),0,7
1,2.0,Lions,Cloyce Box 77 yard pass from Bobby Layne (Pat Harder kick),0,14
2,3.0,Lions,Pat Harder 24 yard field goal,0,17
3,3.0,Lions,Cloyce Box 40 yard pass from Jim Hardy (Pat Harder kick),0,24
4,4.0,Lions,Pat Harder 31 yard field goal,0,27
5,4.0,Lions,Cloyce Box 41 yard pass from Jim Hardy (Pat Harder kick),0,34
6,4.0,Texans,Ray Pelfrey 7 yard pass from Frank Tripucka,6,34
7,4.0,Lions,Jack Christiansen 65 yard rush (Pat Harder kick),6,41
