,Quarter,Tm,Detail,CIN,CLE
0,1.0,Browns,Leroy Kelly 2 yard rush (Don Cockroft kick),0,7
1,1.0,Browns,Don Cockroft 31 yard field goal,0,10
2,2.0,Bengals,Horst Muhlmann 26 yard field goal,3,10
3,3.0,Browns,Don Cockroft 30 yard field goal,3,13
4,4.0,Bengals,Horst Muhlmann 14 yard field goal,6,13
5,4.0,Browns,Frank Pitts 68 yard pass from Mike Phipps (Don Cockroft kick),6,20
6,4.0,Browns,Bob Briggs 11 yard defensive fumble return (Don Cockroft kick),6,27
