,Quarter,Tm,Detail,HOU,DEN
0,1.0,Oilers,Haywood Jeffires 15 yard pass from Warren Moon (Al Del Greco kick),7,0
1,1.0,Oilers,Drew Hill 9 yard pass from Warren Moon (Al Del Greco kick),14,0
2,1.0,Broncos,Vance Johnson 10 yard pass from John Elway,14,6
3,2.0,Oilers,Curtis Duncan 6 yard pass from Warren Moon (Al Del Greco kick),21,6
4,2.0,Broncos,Greg Lewis 1 yard rush (David Treadwell kick),21,13
5,3.0,Broncos,David Treadwell 49 yard field goal,21,16
6,4.0,Oilers,Al Del Greco 25 yard field goal,24,16
7,4.0,Broncos,Greg Lewis 1 yard rush (David Treadwell kick),24,23
8,4.0,Broncos,David Treadwell 28 yard field goal,24,26
