,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Joe Danelo 45 yard field goal,3,0
1,1.0,Eagles,Vyto Kab 2 yard pass from Ron Jaworski (Tony Franklin kick),3,7
2,2.0,Eagles,Wilbert Montgomery 2 yard rush (Tony Franklin kick),3,14
3,2.0,Giants,Earnest Gray 24 yard pass from Scott Brunner (Joe Danelo kick),10,14
4,2.0,Giants,Joe Danelo 31 yard field goal,13,14
5,3.0,Giants,Joe Danelo 26 yard field goal,16,14
6,3.0,Giants,Scott Brunner 7 yard rush (Joe Danelo kick),23,14
7,4.0,Eagles,John Spagnola 18 yard pass from Ron Jaworski (Tony Franklin kick),23,21
8,4.0,Eagles,Tony Franklin 35 yard field goal,23,24
9,4.0,Giants,Joe Danelo 25 yard field goal,26,24
