,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Bills,Charles Romes 26 yard special teams fumble return (Nick Mike-Mayer kick),7,0
1,1.0,Bills,Frank Lewis 50 yard pass from Joe Ferguson (Nick Mike-Mayer kick),14,0
2,1.0,Bills,Nick Mike-Mayer 29 yard field goal,17,0
3,2.0,Bills,Frank Lewis 26 yard pass from Joe Ferguson (Nick Mike-Mayer kick),24,0
4,2.0,Jets,Mickey Shuler 30 yard pass from Richard Todd (Pat Leahy kick),24,7
5,2.0,Jets,Pat Leahy 26 yard field goal,24,10
6,3.0,Jets,Pat Leahy 19 yard field goal,24,13
7,4.0,Bills,Joe Cribbs 45 yard rush (Nick Mike-Mayer kick),31,13
8,4.0,Jets,Bobby Jones 30 yard pass from Richard Todd (Pat Leahy kick),31,20
9,4.0,Jets,Kevin Long 1 yard rush (Pat Leahy kick),31,27
