,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Greg Bell 3 yard rush (Mike Lansford kick),0,7
1,1.0,Rams,Damone Johnson 4 yard pass from Jim Everett (Mike Lansford kick),0,14
2,1.0,Rams,Mike Lansford 25 yard field goal,0,17
3,2.0,49ers,Mike Cofer 19 yard field goal,3,17
4,2.0,49ers,John Taylor 92 yard pass from Joe Montana (Mike Cofer kick),10,17
5,3.0,Rams,Buford McGee 13 yard pass from Jim Everett (Mike Lansford kick),10,24
6,4.0,Rams,Mike Lansford 22 yard field goal,10,27
7,4.0,49ers,Mike Wilson 7 yard pass from Joe Montana (Mike Cofer kick),17,27
8,4.0,49ers,John Taylor 95 yard pass from Joe Montana,23,27
9,4.0,49ers,Roger Craig 1 yard rush (Mike Cofer kick),30,27
