,Quarter,Tm,Detail,PIT,NOR
0,1.0,Saints,Morten Andersen 27 yard field goal,0,3
1,2.0,Steelers,Louis Lipps 76 yard punt return (Gary Anderson kick),7,3
2,2.0,Steelers,John Stallworth 14 yard pass from Mark Malone (Gary Anderson kick),14,3
3,2.0,Saints,Morten Andersen 32 yard field goal,14,6
4,2.0,Saints,Larry Hardy 28 yard pass from Richard Todd (Morten Andersen kick),14,13
5,4.0,Steelers,Gary Anderson 21 yard field goal,17,13
6,4.0,Saints,Junior Miller 21 yard pass from Richard Todd (Morten Andersen kick),17,20
7,4.0,Saints,Dirt Winston 47 yard interception return (Morten Andersen kick),17,27
8,4.0,Steelers,Louis Lipps 25 yard pass from Scott Campbell (Gary Anderson kick),24,27
