,Quarter,Tm,Detail,CLE,GNB
0,1,Packers,Frank Baker 15 yard pass from Mule Wilson (Red Dunn kick),0,7
1,2,Packers,Russ Saunders 38 yard rush,0,13
2,3,Packers,Herdis McCrary 1 yard rush,0,19
3,4,Packers,Mule Wilson 39 yard rush (Red Dunn kick),0,26
