,Quarter,Tm,Detail,MIA,NWE
0,1,Patriots,Matt Bahr 31 yard field goal,0,3
1,2,Patriots,Ben Coates 11 yard pass from Drew Bledsoe (Matt Bahr kick),0,10
2,2,Dolphins,Mark Higgs 5 yard rush (Pete Stoyanovich kick),7,10
3,3,Dolphins,Pete Stoyanovich 29 yard field goal,10,10
4,3,Patriots,Vincent Brisby 11 yard pass from Drew Bledsoe (Matt Bahr kick),10,17
5,4,Dolphins,Mark Ingram 9 yard pass from Scott Mitchell (Pete Stoyanovich kick),17,17
6,4,Patriots,Matt Bahr 37 yard field goal,17,20
7,4,Dolphins,Terry Kirby 15 yard rush (Pete Stoyanovich kick),24,20
8,4,Patriots,Ben Coates 11 yard pass from Drew Bledsoe (Matt Bahr kick),24,27
9,4,Dolphins,Pete Stoyanovich 24 yard field goal,27,27
10,OT,Patriots,Michael Timpson 36 yard pass from Drew Bledsoe,27,33
